Date,Open,High,Low,Close,Volume
4/15/2024 16:00:00,735.43,741,717.95,718.28,1808014
4/16/2024 16:00:00,718.3,722.5,712.13,715.97,1412304
4/17/2024 16:00:00,723,723.8,711,715.19,1376665
4/18/2024 16:00:00,715.19,718.95,709.57,711.25,1846393
4/19/2024 16:00:00,713.03,714.87,702,709.51,2190356
4/22/2024 16:00:00,714.86,718.26,706.17,715.46,1437110
4/23/2024 16:00:00,719.03,724.27,716.3,722.68,1176191
4/24/2024 16:00:00,719.71,725.43,716.09,723.89,1206638
4/25/2024 16:00:00,727.29,727.29,714.41,721.86,1613597
4/26/2024 16:00:00,715,730.95,715,729.18,1524431
4/29/2024 16:00:00,729.53,732.25,720.22,726.33,1526906
4/30/2024 16:00:00,725.51,725.51,717.1,722.9,1734764
5/1/2024 16:00:00,722.27,729.86,715.32,722.22,1609060
5/2/2024 16:00:00,724.75,734.4,720.63,732.44,1826910
5/3/2024 16:00:00,734.28,747.49,733.35,743.9,2323300
5/6/2024 16:00:00,749.59,756.94,746.48,756.45,1773298
5/7/2024 16:00:00,758.69,772.24,755.57,771.31,1897769
5/8/2024 16:00:00,770,773.39,762.71,763.41,1511930
5/9/2024 16:00:00,763.8,779.71,763.61,779.04,1716249
5/10/2024 16:00:00,779.04,787.45,778.16,787.19,1652658
5/13/2024 16:00:00,788,789.48,773.58,775.15,1596784
5/14/2024 16:00:00,774.93,780.81,771.43,777.9,1327707
5/15/2024 16:00:00,778.52,789.66,778.52,787.04,1661652
5/16/2024 16:00:00,791.81,804.56,787.83,793.07,2000002
5/17/2024 16:00:00,793.61,797.6,790.61,795.81,1309108
5/20/2024 16:00:00,795.25,802.98,792.39,793,1347079
5/21/2024 16:00:00,795.57,801.44,792,800.93,1375735
5/22/2024 16:00:00,800.04,806.35,798.01,801.86,1192763
5/23/2024 16:00:00,804.3,808.05,795.43,796.34,1519159
5/24/2024 16:00:00,800.63,816.87,799.09,809.73,1622970
5/28/2024 16:00:00,809.74,815.29,804.72,813.17,1986260
5/29/2024 16:00:00,807.02,813.44,806.29,806.52,2282792
5/30/2024 16:00:00,810.2,819.5,808.3,815.34,2288522
5/31/2024 16:00:00,809.03,811.74,788.2,809.89,4360692
6/3/2024 16:00:00,811,827.91,807.13,815.39,2008733
6/4/2024 16:00:00,814.98,828.01,813.04,827.39,1754454
6/5/2024 16:00:00,830.91,834.39,821.68,834.3,2080014
6/6/2024 16:00:00,835.42,849.09,834.32,842.64,1734991
6/7/2024 16:00:00,846.68,850.38,842.29,845.58,1593589
6/10/2024 16:00:00,847.18,849.48,842.74,848.34,1402332
